category,subcategory,artwork_number,title,dimensions,date,edition,technique,exhibition_locations,represented_in_public_collections,local_image_path,original_image_url,source_page
Prints,1996-2001,159,Midday (Helios),,2000,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/159_Midday_(Helios)_2000_406d4950221.jpg,http://agathesorel.co.uk/Prints/159_Midday_(Helios)_2000_406d4950221.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,160,Dusk (Helios),,2000,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/160__Dusk_(Helios)_2000_406d4953222.jpg,http://agathesorel.co.uk/Prints/160__Dusk_(Helios)_2000_406d4953222.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,161,The cockerel Sheherezade (Helios),,2000,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/161_The_cockerel_Sheherezade_(Helios)_2000_406d4956223.jpg,http://agathesorel.co.uk/Prints/161_The_cockerel_Sheherezade_(Helios)_2000_406d4956223.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,162,Tablewear,780 x 600 mm,2001,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/162_Tablewear_2001_.br.780x600_mm_406d4959224.jpg,http://agathesorel.co.uk/Prints/162_Tablewear_2001_.br.780x600_mm_406d4959224.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,163,Variable Lights,107 x 60 mm,2000,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/163_(K)_Variable_Lights_2000_.br.107x60_mm_406d495b225.jpg,http://agathesorel.co.uk/Prints/163_(K)_Variable_Lights_2000_.br.107x60_mm_406d495b225.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,164,Mobius Striptease,780 x 600 mm,2001,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/164_(K)_Mobius_Striptease_2001_.br.780x600_mm_406d4961226.jpg,http://agathesorel.co.uk/Prints/164_(K)_Mobius_Striptease_2001_.br.780x600_mm_406d4961226.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,165,Book of Sand Cover (Artists Book with poems by David Gascoyne),,1996,,Artist's Book,"Bankside Gallery, London (The Book of Sand Exhibition, 2003)","Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/165_(K)_Book_of_Sand_Cover_(Artists_Book_with_poems_by_David_Gascoyne)406d4965227.jpg,http://agathesorel.co.uk/Prints/165_(K)_Book_of_Sand_Cover_(Artists_Book_with_poems_by_David_Gascoyne)406d4965227.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,166,The Spanish Couple (The Book of Sand),580 x 440 mm,2001,,Artist's Book,"Bankside Gallery, London (The Book of Sand Exhibition, 2003)","Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/166_The_Spanish_Couple_(The_Book_of_Sand)_2001_.br.580x440_m406d4968228.jpg,http://agathesorel.co.uk/Prints/166_The_Spanish_Couple_(The_Book_of_Sand)_2001_.br.580x440_m406d4968228.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,167,Blake (The Book of Sand),340 x 280 mm,2001,,Artist's Book,"Bankside Gallery, London (The Book of Sand Exhibition, 2003)","Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/167__Blake_(The_Book_of_Sand)_2001_.br.340x280_mm_406d496a229.jpg,http://agathesorel.co.uk/Prints/167__Blake_(The_Book_of_Sand)_2001_.br.340x280_mm_406d496a229.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,168,Men seen afar (The Book of Sand),900 x 630 mm,2001,,Artist's Book,"Bankside Gallery, London (The Book of Sand Exhibition, 2003)","Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/168_(K)_Men_seen_afar_(The_Book_of_Sand)_2001_.br.900x630_mm406d496d230.jpg,http://agathesorel.co.uk/Prints/168_(K)_Men_seen_afar_(The_Book_of_Sand)_2001_.br.900x630_mm406d496d230.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,169,Winged Creatures (The Book of Sand),780 x 530 mm,2001,,Artist's Book,"Bankside Gallery, London (The Book of Sand Exhibition, 2003)","Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/169__Winged_Creatures_(The_Book_of_Sand)_2001_.br.780x530_mm406d496f231.jpg,http://agathesorel.co.uk/Prints/169__Winged_Creatures_(The_Book_of_Sand)_2001_.br.780x530_mm406d496f231.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,170,The Round Dance (The Book of Sand),900 x 630 mm,2001,,Artist's Book,"Bankside Gallery, London (The Book of Sand Exhibition, 2003)","Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/170_The_Round_Dance_(The_Book_of_Sand)_2001_.br.900x630_mm_406d4971232.jpg,http://agathesorel.co.uk/Prints/170_The_Round_Dance_(The_Book_of_Sand)_2001_.br.900x630_mm_406d4971232.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,171,The Janus Gaze (The Book of Sand),800 x 590 mm,2001,,Artist's Book,"Bankside Gallery, London (The Book of Sand Exhibition, 2003)","Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/171_The_Janus_Gaze_(The_Book_of_Sand)_2001_.br.800x590_mm_406d4974233.jpg,http://agathesorel.co.uk/Prints/171_The_Janus_Gaze_(The_Book_of_Sand)_2001_.br.800x590_mm_406d4974233.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,172,Patterns Flow Like Rivers (The Book of Sand),,2001,,Artist's Book,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/172_Patterns_Flow_Like_Rivers_(The_Book_of_Sand)_2001_.br.90406d4976234.jpg,http://agathesorel.co.uk/Prints/172_Patterns_Flow_Like_Rivers_(The_Book_of_Sand)_2001_.br.90406d4976234.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,173,Women Waiting fot their Lovers (The Book of Sand),,2001,,Artist's Book,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/173_Women_Waiting_fot_their_Lovers_(The_Book_of_Sand)_2001_.406d4979235.jpg,http://agathesorel.co.uk/Prints/173_Women_Waiting_fot_their_Lovers_(The_Book_of_Sand)_2001_.406d4979235.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,174,Prelimilaries to Farewell (The Book of Sand),,2001,,Artist's Book,"Bankside Gallery, London (The Book of Sand Exhibition, 2003)","Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/174_Prelimilaries_to_Farewell_(The_Book_of_Sand)_2001_.br.90406d497b236.jpg,http://agathesorel.co.uk/Prints/174_Prelimilaries_to_Farewell_(The_Book_of_Sand)_2001_.br.90406d497b236.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,175,The Desert (Ghost Stories),820 x 930 mm,2001,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/175_(K)_The_Desert_(Ghost_Stories)_2001_.br.820x930_mm_406d497e237.jpg,http://agathesorel.co.uk/Prints/175_(K)_The_Desert_(Ghost_Stories)_2001_.br.820x930_mm_406d497e237.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,176,Scarecrows and Ghosts (Ghost Stories),630 x 900 mm,2001,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/176_(K)_Scarecrows_and_Ghosts_(Ghost_Stories)_2001_.br.630x9406d4980238.jpg,http://agathesorel.co.uk/Prints/176_(K)_Scarecrows_and_Ghosts_(Ghost_Stories)_2001_.br.630x9406d4980238.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
