site_index,title,match,field,old,new
42,Sheet sculpture (Washday),exact,technique_detail,,"Digital montage, watercolour. Vignette"
501,05 Self defence,probable,technique_detail,,Digital collage in colour
501,05 Self defence,probable,date,2005,2001
501,05 Self defence,probable,dimensions,560 x 810 mm,530 x 760 mm
43,Dawn (Helios),exact,technique_detail,,"Digital montage, watercolour. Vignette"
43,Dawn (Helios),exact,dimensions,,680 x 780 mm
44,Morning (Helios),exact,technique_detail,,"Digital montage, watercolour. Vignette"
44,Morning (Helios),exact,dimensions,,900 x 700 mm
45,Midday (Helios),exact,technique_detail,,"Digital montage, watercolour. Vignette"
45,Midday (Helios),exact,dimensions,,900 x 640 mm
46,Dusk (Helios),exact,technique_detail,,"Digital montage, watercolour. Vignette"
46,Dusk (Helios),exact,dimensions,,680 x 780 mm
47,The cockerel Sheherezade (Helios),exact,technique_detail,,Digital montage Vignette
47,The cockerel Sheherezade (Helios),exact,dimensions,,830 x 670 mm
48,Tablewear,exact,technique_detail,,"Digital montage, watercolour. Vignette"
49,Variable Lights,exact,technique_detail,,"Line engraving & woodcut printed in black, red, blue, yellow, green, brown, mauve, orange & ochre"
49,Variable Lights,exact,dimensions,107 x 60 mm,107 x 760 mm
50,Mobius Striptease,exact,technique_detail,,Litho & brushed sand in acrylic box
51,Book of Sand Cover (Artists Book with poems by David Gascoyne),exact,technique_detail,,Line engraving on acrylic
51,Book of Sand Cover (Artists Book with poems by David Gascoyne),exact,date,1996,2001
51,Book of Sand Cover (Artists Book with poems by David Gascoyne),exact,dimensions,,340 x 280 mm
53,Blake (The Book of Sand),exact,technique_detail,,Digital montage. vignette
54,Men seen afar (The Book of Sand),exact,technique_detail,,Digital montage. vignette
55,Winged Creatures (The Book of Sand),exact,technique_detail,,Digital montage. vignette
55,Winged Creatures (The Book of Sand),exact,dimensions,780 x 530 mm,800 x 530 mm
56,The Round Dance (The Book of Sand),exact,technique_detail,,Digital montage. Vignette
56,The Round Dance (The Book of Sand),exact,dimensions,900 x 630 mm,630 x 900 mm
57,The Janus Gaze (The Book of Sand),exact,technique_detail,,Digital montage. Vignette
57,The Janus Gaze (The Book of Sand),exact,dimensions,800 x 590 mm,800 x 630 mm
58,Patterns Flow Like Rivers (The Book of Sand),exact,technique_detail,,Digital montage. Vignette
58,Patterns Flow Like Rivers (The Book of Sand),exact,dimensions,,900 x 630 mm
59,Women Waiting fot their Lovers (The Book of Sand),exact,technique_detail,,Digital montage. Vignette
59,Women Waiting fot their Lovers (The Book of Sand),exact,dimensions,,900 x 630 mm
52,The Spanish Couple (The Book of Sand),exact,technique_detail,,Digital montage
60,Prelimilaries to Farewell (The Book of Sand),exact,technique_detail,,Digital montage. Vignette
60,Prelimilaries to Farewell (The Book of Sand),exact,dimensions,,630 x 900 mm
61,The Desert (Ghost Stories),exact,technique_detail,,Digital montage Vignette
62,Scarecrows and Ghosts (Ghost Stories),exact,technique_detail,,Digital montage. Vignette
63,Scare Crow and Rabbit Scare (Ghost Stories),exact,technique_detail,,Digital montage & watercolour Vignette
63,Scare Crow and Rabbit Scare (Ghost Stories),exact,dimensions,,780 x 600 mm
64,Dejeuner sans Herbes (Ghost Stories),exact,technique_detail,,Digital montage and watercolour
65,Ghost Story (Ghost Stories),exact,technique_detail,,Chair Persons
66,Chair Persons,exact,technique_detail,,Digital montage Vignette
160,No Exit (Shipyard),exact,technique_detail,,Digital montage & watercolour Vignette
160,No Exit (Shipyard),exact,dimensions,1180 x 790 mm,1180 x 600 mm
161,Shipyard Aerial View (Shipyard),exact,technique_detail,,Digital montage & watercolour Vignette
162,Figurehead (Shipyard),exact,technique_detail,,Digital montage. Vignette
163,Augustine's Shipyard (Shipyard),exact,technique_detail,,"Digital montage & woodcut, printed in black, orange, blue, yellow & raw umber. Vignette"
164,Kabuki 1 (Shipyard),exact,technique_detail,,"Digital montage and woodcut, printed in black, Vignette"
164,Kabuki 1 (Shipyard),exact,dimensions,880 x 800 mm,850 x 800 mm
165,Odyssey (Shipyard),exact,technique_detail,,Digital montage & watercolour Vignette
165,Odyssey (Shipyard),exact,dimensions,630 x 900 mm,600 x 900 mm
166,Lobster Pots (Shipyard),exact,technique_detail,,Digital montage & watercolour Vignette
169,Refit (Shipyard),exact,technique_detail,,Engraving with light digital print with woodcut
170,Free (The Gates of Hell - Detail),exact,technique_detail,,Digital montage and watercolour (Several sizes)
171,The Gates of Hell,exact,technique_detail,,Digital montage and watercolour
171,The Gates of Hell,exact,dimensions,951 x 820 mm,1350 x 900 mm
172,Afterlife,exact,technique_detail,,Digital print& Woodcut
173,Another Butterfly,exact,technique_detail,,Digital Montage with woodcut
175,Grunewald,exact,technique_detail,,Digital montage& Woodcut (2 versions)
175,Grunewald,exact,date,2004,2003
177,Self Protection,exact,technique_detail,,Digital montage and collage
180,Stones in Sunlight and Moonlight (Floating World),exact,technique_detail,,Digital montage & Woodcut
180,Stones in Sunlight and Moonlight (Floating World),exact,date,2002,2006
181,The Floating World (Floating World),exact,technique_detail,,Digital montage
181,The Floating World (Floating World),exact,date,2002,2006
113,Grass,exact,technique_detail,,Digital montage and wood cut
113,Grass,exact,date,2007,2006
182,Crusade (Floating World),exact,technique_detail,,Digital montage and wood cut
182,Crusade (Floating World),exact,date,2002,2006
183,Walking on Water (Floating World),exact,technique_detail,,Digital montage and woodcut
183,Walking on Water (Floating World),exact,date,2002,2006
178,Mirage (Floating World),exact,technique_detail,,Digital montage with woodcut
178,Mirage (Floating World),exact,date,2002,2006
178,Mirage (Floating World),exact,dimensions,800 x 600 mm,642 x 514 mm
184,Engraved Sculpture (Floating World),exact,technique_detail,,Digital montage and watercolour
184,Engraved Sculpture (Floating World),exact,date,2002,2006
184,Engraved Sculpture (Floating World),exact,dimensions,870 x 610 mm,750 x 560 mm
179,Sculpture in Grass and Stubble (Floating World),exact,technique_detail,,Digital Montage with woodcut
179,Sculpture in Grass and Stubble (Floating World),exact,date,2002,2006
179,Sculpture in Grass and Stubble (Floating World),exact,dimensions,1005 x 960 mm,1070 x 680 mm
185,Ragtime A,probable,technique_detail,,Digital montage and woodcut
185,Ragtime A,probable,date,2002,2005
185,Ragtime A,probable,dimensions,760 x 560 mm,750 x 560 mm
186,Ragtime B,probable,technique_detail,,Digital montage and woodcut
186,Ragtime B,probable,date,2002,2005
186,Ragtime B,probable,dimensions,800 x 600 mm,750 x 560 mm
187,Ragtime C,probable,technique_detail,,Digital print
187,Ragtime C,probable,date,2002,2006
187,Ragtime C,probable,dimensions,770 x 560 mm,750 x 560 mm
188,Picnic,exact,technique_detail,,Digital print (1 framed)
188,Picnic,exact,date,2002,2006
188,Picnic,exact,dimensions,920 x 1280 mm,970 x 1220 mm
189,The Grand Memorabilia,exact,technique_detail,,Digital montage (original Collage)
189,The Grand Memorabilia,exact,date,2002,2006
189,The Grand Memorabilia,exact,dimensions,330 x 500 mm,550 x 900 mm
111,Amazon,exact,technique_detail,,Plastics engraving
111,Amazon,exact,date,2007,2006
111,Amazon,exact,dimensions,670 x 760 mm,650 x 760 mm
7,Tatjana's Letter,exact,technique_detail,,Digital print
7,Tatjana's Letter,exact,date,2011,2002
14,Lorca's Flowers,exact,technique_detail,,Digital print
14,Lorca's Flowers,exact,dimensions,300 x 490 mm,300 x 210 mm
