inv_section,inv_no,inv_title,inv_year,inv_size_mm,inv_technique,site_index,site_category,site_subcategory,site_title,site_date,site_dimensions,site_dims_source,site_technique,match,match_score,date_check,dim_check,technique_check
Prints & Graphic Works (1959-2005),66,"Bird, Land and Ribs",1968,780x600,"Deep bite, etching, aquatint & stencil, printed in black & blue Vignette",130,Prints,1966-1976,"Bird, Land and Ribs",1968,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),67,Danger,1969,780x600,"Photo etching & mezzotint on plastics, printed in green black, blue-black, yellow, brown, & green",131,Prints,1966-1976,Danger,1969,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),68,Bravado (K),1969,600x780,"Etching & deep bite with brass cut outs, printed in black, red, yellow, purple,& ochre Vignette",132,Prints,1966-1976,Bravado,1969,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),69,Beginning (K),1970,780x600,"Line engraving, aquatint & brass cut out, printed in black, red, & yellow Vignette",133,Prints,1966-1976,Beginning,1970,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),70,Heroes in Perspective,1974,600x789,"Heat branded plastic, photo etching & line engraving, printed in black, blue, ochre & red Vignette",134,Prints,1966-1976,Heroes in Perspective,1974,600 x 789 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),71,Temptations (K),1974,600x780,"Sugar aquatint, deep bite, machine-engraving & heat branded plastic, printed in blue-black, brown, pink, magenta & turquoise",135,Prints,1966-1976,Temptations,1974,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),72,The Sculpture Garden,1974,600x800,"Line engraving, aquatint, with dry point on plastics, printed in green-black, red & yellow Vignette",136,Prints,1966-1976,The Sculpture Garden,1974,600 x 800 mm,field,Sculpture,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),73,Possessions,1972,800x600,"Dry point on plastics, etching, aquatint on copper printed in green-black, red & yellow Vignette",137,Prints,1966-1976,Posessions,1972,800 x 600 mm,field,Print,exact,0.95,ok,ok,site generic
Prints & Graphic Works (1959-2005),74,Shell,1972,800x600,"Multi layered plastic cut out, dry point, engraving, printed in brown, mauve, blue, yellow, red & olive green Vignette",138,Prints,1966-1976,Shell,1972,800 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),75,New Dove (K),1972,800x600,"Computer generated litho & surface print in black, grey, red & orange Vignette",139,Prints,1966-1976,New Dove,1972,800 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),76,The Preservation of Life,1972,800x600,"Line engraving & dry point on plastic, printed in blue, brown & olive Vignette",140,Prints,1966-1976,The Preservation of Life,1972,800 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),77,Starlet (K),1966,800x600,"Folded, hammered brass & extruded metal cut-out, printed in blue, black with mirror foil applied Vignette",141,Prints,1966-1976,Starlet,1966,800 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),78,Virtuosos,1972,780x600,"Line engraving, aquatint & brass cut outs, printed in brown-black, grey yellow, red & olive",142,Prints,1966-1976,Virtuosos,1972,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),79,Homes,1972,600x780,"Dry point on plastic, printed in brown-black & green Vignette",143,Prints,1966-1976,Homes,1972,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),80,Dark Satanic Mills (K),1974,780x600,"Photo etching, heat branded plastic & plastic engraving, printed in brown-black, grey & green",144,Prints,1966-1976,Dark Satanic Mills,1974,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),81,Blueprint for Survival,1974,600x780,"Photo etching & plastic engraving, printed in purple-black, blue, orange & purple",145,Prints,1966-1976,Blueprint for Survival,1974,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),82,Sunbathers,1974,600x780,"Plastic engraving, dry point & aquatint, printed in blue, green, orange, mauve & turquoise",146,Prints,1966-1976,Sunbathers,1974,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),83,Let's go and Watch,1974,600x780,"Photo etching, line engraving, soft ground & plastic engraving, printed in black, yellow, red & green. vignette",147,Prints,1966-1976,Let's go and Watch,1974,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),84,Swinger,1974,780x600,"Machine engraved and heat-branded plastics, dry point, and mezzotint, printed in black, blue, red, ochre & magenta vignette",148,Prints,1966-1976,Swinger,1974,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),85,Watching the Garden Grow,1974,780x600,"Heat branded plastic & mezzotint, printed in black, blue, yellow, & ochre. vignette",149,Prints,1966-1976,Watching the Garden Grow,1974,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),86,Nocturne,1974,780x600,"Line engraving & aquatint on copper & dry pointed plastic, printed in black, brown, blue & mauve vignette",150,Prints,1966-1976,Nocturn,1974,780 x 600 mm,field,Print,exact,0.93,ok,ok,site generic
Prints & Graphic Works (1959-2005),87,By the Drunken Photographer,1967,780x600,"Line engraving, aquatint & folded brass cut-outs, printed in black, green & brown",151,Prints,1966-1976,By the Drunken Photographer,1967,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),88,On the Farm,1975,780x600,"Heat branded plastic, bubble wrap, dry point, printed in black, blue, red & ochre vignette",152,Prints,1966-1976,On the Farm,1975,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),89,Bougainvillea,1975,780x600,"Line engraving & mezzotint on copper & heat branded plastic, printed in black, red, blue, yellow & brown. vignette",153,Prints,1966-1976,Bougainvillea,1975,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),90,Recharging Batteries (K),1975,600x780,"Mezzotint And heat-branding on plastic, printed in black, grey, brown,& pink",154,Prints,1966-1976,Rechargeing Batteries,1975,600 x 780 mm,field,Print,exact,0.98,ok,ok,site generic
Prints & Graphic Works (1959-2005),91,Knossos,1975,780x600,"Aquatint, on zinc, plastic engraving, printed red, green, blue, with pink & white plastic collage. vignette",155,Prints,1966-1976,nossos,1975,780 x 600 mm,field,Print,probable,0.92,ok,ok,site generic
Prints & Graphic Works (1959-2005),92,The Grand Bathroom (K),1975,780x600,"Engraving on plastic cut-outs, printed in black, blue, green yellow & brown vignette",156,Prints,1966-1976,The Grand Bathroom,1975,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),92b,Give & Take,1976,780x600,"Heat branding & dry-pointing on plastic, printed in black, blue, red, yellow & orange, vignette",157,Prints,1966-1976,Give & Take,1976,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),93,Woman In Waves,,600x780,Photo litho,220,Prints,1976-1996,Woman in Waves,1989,600 x 780 mm,field,Print,exact,1.00,inventory has no year,ok,site generic
Prints & Graphic Works (1959-2005),94,Contentment or Dog Scratching it's Back,1975,600x780,"Heat branded engraved plastic & dry point, printed in black, ochre, grey & brown. vignette",158,Prints,1966-1976,Contentment or Dog Scratching it's Back,1975,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),95,Water Sculpture,1976,780x600,"Deep-bite on copper, engraving & dry-point on plastic, printed in purple, blue, brown & burnt Siena",159,Prints,1966-1976,Water Sculpture,1976,780 x 600 mm,field,Sculpture,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),96,Biplanes and Catamarans (K),1968,600x780,"Heat branded plastic & plastic engraving, printed in black, orange & red Vignette",190,Prints,1976-1996,Biplanes and Catamarans,1968,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),97,Woman at the Edge,1998,600x780,Heat branding and collage,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),98,Agnus Dei,1978,600x780,"Plastic engraving & mezzotint, printed in black, blue, grey red, yellow, mauve & orange",191,Prints,1976-1996,Agnus Dei,1978,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),99,Sphinx (K),1978,600x780,"Computer generated photo etching & plastic engraving, printed in black, grey, blue, brown, orange & blue",192,Prints,1976-1996,Sphinx,1978,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),100,The Waterhole (K),1978,780x600,"Photo litho, plastic engraving & woodcut, printed in black, pink, brown, green, red, grey & ochre Vignette",193,Prints,1976-1996,The Waterhole,1978,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),101,Colours Must Sing,1978,780x600,"Engraving on plastic, mezzotint & dry point, printed in black, red, pink, blue, orange & yellow. Vignette",194,Prints,1976-1996,Colours Must Sing,1978,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),102,Orpheus,1978,600x780,"Dry point on heat branded plastics & aquatint on copper, printed in black, red, grey, orange & green Vignette",195,Prints,1976-1996,Orpheus,1978,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),103,Tournament,1970,600x780,"Brushed aquatint, line engraving, colour intaglio & surface print, printed in black, red, green-black, blue, ochre & yellow",196,Prints,1976-1996,Tournament,1970,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),104,Gipsies,1979,600x780,"Etching & aquatint, heat-branded plastic, printed in black, ochre, red, pink, orange & blue Vignette",197,Prints,1976-1996,Gipsies,1979,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),105,Let the Angels Sing,1979,780x600,"Plastics engraving, heat branding & mezzotint, printed in black, blue, grey & orange",198,Prints,1976-1996,Let the Angels Sing,1979,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),106,Before the Pilons Came,1979,600x780,"Engraving, heat branding & mezzotint, printed in red, blue, green, yellow & burnt Siena. Vignette",199,Prints,1976-1996,Before the Pilons Came,1979,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),107,Historic Couple,1979,600x780,"Heat branded plastic, engraving, mezzotint, printed in black, blue, red, grey, yellow & brown Vignette",200,Prints,1976-1996,Historic Couple,1979,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),108,Weight Watcher,1979,780x600,"Etching & heat branded plastic, printed in black, ochre, pink & grey",201,Prints,1976-1996,Weight Watcher,1979,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),109,Lady in a Hammock,1979,780x600,"Photo etching & line engraving on plastic, printed in black, grey & brown Vignette",202,Prints,1976-1996,Lady in a Hammock,1979,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),110,The Road is Up,1980,600x780,"Heat branded plastic & dry point, printed in black, blue, red, ochre, brown & purple",203,Prints,1976-1996,The Road is Up,1980,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),111,Lanzarote (K),1981,600x780,"Heat branded plastic, dry point, etched plastic, printed in black, pink, yellow, blue, & green Vignette",204,Prints,1976-1996,Lanzarote,1981,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),112,Hello and Goodbye (K),1981,780x108,"Photo litho & plastics engraving, printed in black, red, grey & yellow Vignette (Two sheets)",205,Prints,1976-1996,Hello and Goodby,1981,780 x 108 mm,field,Print,exact,0.97,ok,ok,site generic
Prints & Graphic Works (1959-2005),113,The Bird the Snake & the Stone Lion,1982,600x780,"Brushed aquatint, line engraving on zinc & copper, Printed in purple, green, blue, brown,& mauve",206,Prints,1976-1996,The Bird the Snake & the Stone Lion,1982,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),114,Roots,1981,600x780,"Plastic engraving & mezzotint, printed in black, grey, green, pink, yellow & red Vignette",207,Prints,1976-1996,Roots,1981,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
